xdid	similar_grid_pct	reused_clues	reused_answers	total_clues	matches
atc2002-06-27	0	48	76	76	
atc2002-06-28	0	55	76	78	
atc2002-06-29	0	42	72	76	
atc2002-06-30	0	45	73	78	
atc2002-07-01	0	50	74	78	
atc2002-07-02	0	57	78	78	
atc2002-07-03	0	42	72	74	
atc2002-07-04	0	50	75	76	
atc2002-07-05	0	41	77	78	
atc2002-07-06	0	48	73	78	
atc2002-07-07	0	36	68	72	
atc2002-07-08	0	53	69	74	
atc2002-07-09	0	42	76	78	
atc2002-07-10	0	46	76	78	
atc2002-07-11	0	44	72	74	
atc2002-07-12	0	43	73	74	
atc2002-07-13	0	46	76	78	
atc2002-07-14	0	47	75	76	
atc2002-07-15	0	50	75	78	
atc2002-07-16	0	36	73	76	
atc2002-07-17	0	43	75	78	
atc2002-07-18	0	51	76	78	
atc2002-07-19	0	51	77	78	
atc2002-07-20	0	47	76	78	
atc2002-07-21	0	44	74	78	
atc2002-07-22	100	77	78	78	atc2001-12-25=100
atc2002-07-23	0	37	69	76	
atc2002-07-24	0	49	73	78	
atc2002-07-25	0	53	78	78	
atc2002-07-26	0	50	77	78	
atc2002-07-27	0	44	76	78	
atc2002-07-28	0	43	74	76	
atc2002-07-29	0	53	78	78	
atc2002-07-30	100	69	76	76	atc2002-05-12=100
atc2002-07-31	0	45	77	78	
atc2002-08-01	0	46	77	78	
atc2002-08-02	0	49	75	78	
atc2002-08-03	0	46	73	76	
atc2002-08-04	0	52	71	76	
atc2002-08-05	0	41	73	78	
atc2002-08-06	0	49	73	74	
atc2002-08-07	0	46	72	76	
atc2002-08-08	0	40	70	76	
atc2002-08-09	0	47	78	78	
atc2002-08-10	0	42	75	76	
atc2002-08-11	0	53	76	78	
atc2002-08-12	0	39	73	74	
atc2002-08-13	100	77	78	78	atc2001-08-06=100
atc2002-08-14	0	43	78	78	
atc2002-08-15	0	42	72	74	
atc2002-08-16	0	52	77	78	
atc2002-08-17	0	41	76	78	
atc2002-08-18	0	39	74	78	
atc2002-08-19	0	44	77	78	
atc2002-08-20	0	51	76	78	
atc2002-08-21	0	43	75	78	
atc2002-08-22	0	51	77	78	
atc2002-08-23	0	43	71	72	
atc2002-08-24	0	40	74	76	
atc2002-08-25	0	47	72	74	
atc2002-08-26	97	72	78	78	atc2001-08-27=97
atc2002-08-27	0	48	75	78	
atc2002-08-28	0	48	76	78	
atc2002-08-29	0	33	71	74	
atc2002-08-30	0	45	71	76	
atc2002-08-31	0	37	70	74	
atc2002-09-01	0	49	75	78	
atc2002-09-02	0	56	75	78	
atc2002-09-03	26	38	73	76	nyt1975-08-05=26
atc2002-09-04	0	44	77	78	
atc2002-09-05	0	39	76	76	
atc2002-09-06	0	37	74	76	
atc2002-09-07	0	50	78	78	
atc2002-09-08	0	53	76	78	
atc2002-09-09	0	45	78	78	
atc2002-09-10	0	36	73	76	
atc2002-09-11	0	46	75	78	
atc2002-09-12	0	44	76	78	
atc2002-09-13	0	41	76	76	
atc2002-09-14	0	40	72	76	
atc2002-09-15	0	50	77	78	
atc2002-09-16	0	53	75	78	
atc2002-09-17	100	75	78	78	atc2001-09-17=100
atc2002-09-18	0	38	72	76	
atc2002-09-19	0	55	76	78	
atc2002-09-20	100	74	78	78	atc2001-07-30=100
atc2002-09-21	100	75	76	76	atc2001-07-01=100
atc2002-09-22	99	75	78	78	atc2001-06-02=99
atc2002-09-23	100	75	76	76	atc2001-07-12=100
atc2002-09-24	89	42	76	76	lat1997-01-16=89
atc2002-09-25	0	50	78	78	
atc2002-09-26	0	39	75	78	
atc2002-09-27	0	49	75	78	
atc2002-09-28	0	52	75	78	
atc2002-09-29	0	49	75	78	
atc2002-09-30	0	42	68	74	
atc2002-10-01	0	38	71	74	
atc2002-10-02	0	43	72	74	
atc2002-10-03	0	40	78	78	
atc2002-10-04	0	57	77	78	
atc2002-10-05	25	49	77	78	nyt2002-03-04=25
atc2002-10-06	0	44	76	78	
atc2002-10-07	0	55	75	78	
atc2002-10-08	0	50	77	78	
atc2002-10-09	0	50	76	78	
atc2002-10-10	0	49	75	76	
atc2002-10-11	0	31	68	78	
atc2002-10-12	100	76	78	78	atc2001-06-08=100
atc2002-10-13	100	76	78	78	atc2002-04-14=100
atc2002-10-14	0	40	74	74	
atc2002-10-15	0	48	71	74	
atc2002-10-16	0	44	74	76	
atc2002-10-17	0	48	78	78	
atc2002-10-18	0	36	74	76	
atc2002-10-19	100	74	78	78	atc2001-07-03=100
atc2002-10-20	0	41	77	78	
atc2002-10-21	0	49	76	78	
atc2002-10-22	100	77	78	78	atc2001-07-04=100
atc2002-10-23	0	40	69	74	
atc2002-10-24	0	53	73	76	
atc2002-10-25	0	37	78	78	
atc2002-10-26	100	74	76	76	atc2001-06-16=100
atc2002-10-27	0	34	73	76	
atc2002-10-28	0	41	75	76	
atc2002-10-29	0	53	76	78	
atc2002-10-30	0	37	73	76	
atc2002-10-31	0	45	74	76	
atc2002-11-01	0	52	77	78	
atc2002-11-02	0	48	74	76	
atc2002-11-03	0	48	73	78	
atc2002-11-04	0	35	73	74	
atc2002-11-05	0	63	78	78	
atc2002-11-06	0	46	73	74	
atc2002-11-07	0	43	78	78	
atc2002-11-08	34	48	74	76	atc2002-08-08=34
atc2002-11-09	0	50	74	78	
atc2002-11-10	0	44	70	76	
atc2002-11-11	0	38	75	78	
atc2002-11-12	0	47	73	74	
atc2002-11-13	0	43	75	76	
atc2002-11-14	0	56	74	78	
atc2002-11-15	0	53	76	78	
atc2002-11-16	0	48	75	78	
atc2002-11-17	0	44	74	76	
atc2002-11-18	100	73	74	74	atc2001-08-28=100
atc2002-11-19	62	48	76	76	nyt1986-09-11=36 nyt1973-11-01=26
atc2002-11-20	0	39	71	76	
atc2002-11-21	0	42	71	76	
atc2002-11-22	100	77	78	78	atc2001-06-21=100
atc2002-11-23	0	53	73	76	
atc2002-11-24	0	51	76	78	
atc2002-11-25	0	55	76	78	
atc2002-11-26	0	45	77	78	
atc2002-11-27	0	38	71	74	
atc2002-11-28	100	76	78	78	atc2001-11-22=100
atc2002-11-29	0	39	75	76	
atc2002-11-30	0	52	74	78	
atc2002-12-01	100	78	78	78	atc2001-06-07=100
atc2002-12-02	100	78	78	78	atc2001-06-25=100
atc2002-12-03	100	78	78	78	atc2001-06-04=100
atc2002-12-04	0	44	76	78	
atc2002-12-05	0	45	73	76	
atc2002-12-06	0	61	73	76	
atc2002-12-07	100	57	75	78	atc2002-09-26=100
atc2002-12-08	0	48	78	78	
atc2002-12-09	0	54	78	78	
atc2002-12-10	0	58	76	78	
atc2002-12-11	0	55	76	78	
atc2002-12-12	0	55	75	78	
atc2002-12-13	0	51	73	76	
atc2002-12-14	100	75	76	76	atc2001-08-01=100
atc2002-12-15	0	46	77	78	
atc2002-12-16	0	62	80	80	
atc2002-12-17	0	47	75	78	
atc2002-12-18	0	52	75	76	
atc2002-12-19	0	38	71	74	
atc2002-12-20	100	78	78	78	atc2001-04-10=100
atc2002-12-21	0	34	72	76	
atc2002-12-22	0	45	75	78	
atc2002-12-23	100	78	78	78	atc2001-04-03=100
atc2002-12-24	0	52	76	78	
atc2002-12-25	0	43	75	76	
atc2002-12-26	100	75	78	78	atc2001-03-04=100
atc2002-12-27	0	47	78	80	
atc2002-12-28	0	52	77	78	
atc2002-12-29	0	46	74	76	
atc2002-12-30	100	75	76	76	atc2001-03-07=100
atc2002-12-31	0	47	72	76	
atc2003-01-01	100	72	76	76	atc2001-03-21=100
atc2003-01-02	100	77	78	78	atc2001-04-26=100
atc2003-01-03	0	45	75	78	
atc2003-01-04	0	47	76	78	
atc2003-01-05	0	48	75	78	
atc2003-01-06	0	49	76	78	
atc2003-01-07	0	47	73	76	
atc2003-01-08	0	51	75	78	
atc2003-01-09	0	46	74	74	
atc2003-01-10	0	56	77	78	
atc2003-01-11	0	41	77	78	
atc2003-01-12	0	52	77	78	
atc2003-01-13	0	52	75	78	
atc2003-01-14	0	53	78	78	
atc2003-01-15	0	55	69	76	
atc2003-01-16	0	51	69	74	
atc2003-01-17	100	78	78	78	atc2001-03-14=100
atc2003-01-18	100	77	78	78	atc2001-03-18=100
atc2003-01-19	100	58	78	78	lat2002-02-12=100
atc2003-01-20	0	33	75	76	
atc2003-01-21	0	47	69	76	
atc2003-01-22	0	45	76	78	
atc2003-01-23	0	46	73	74	
atc2003-01-24	0	38	72	76	
atc2003-01-25	100	75	78	78	atc1997-11-26=100
atc2003-01-26	82	47	78	78	lat1999-10-16=82
atc2003-01-27	0	42	78	78	
atc2003-01-28	100	74	74	74	atc2001-03-12=100
atc2003-01-29	100	78	78	78	atc2001-03-17=100
atc2003-01-30	100	78	78	78	atc2001-04-18=100
atc2003-01-31	100	77	78	78	atc2001-04-02=100
atc2003-02-01	0	48	76	78	
atc2003-02-02	0	47	78	78	
atc2003-02-03	100	71	78	78	atc2001-06-18=100
atc2003-02-04	0	42	70	72	
atc2003-02-05	0	55	75	78	
atc2003-02-06	0	45	70	74	
atc2003-02-07	0	44	75	76	
atc2003-02-08	0	41	74	76	
atc2003-02-09	0	49	76	78	
atc2003-02-10	100	74	78	78	atc2001-04-16=100
atc2003-02-11	0	49	73	76	
atc2003-02-12	0	51	77	78	
atc2003-02-13	0	39	71	76	
atc2003-02-14	0	49	75	76	
atc2003-02-15	100	77	78	78	atc2001-03-03=100
atc2003-02-16	0	45	75	78	
atc2003-02-17	100	74	76	76	atc2001-03-24=100
atc2003-02-18	100	78	78	78	atc2001-03-05=100
atc2003-02-19	100	78	78	78	atc2001-03-26=100
